timestamp,scenario,cumulative_unserved_energy_GWh
2021-01-31 12:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 15:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 18:00:00,+4.5 GW SMR,483.92956131523465
2021-01-31 21:00:00,+4.5 GW SMR,483.92956131523465
2021-02-01 00:00:00,+4.5 GW SMR,483.92956131523465
2021-02-01 03:00:00,+4.5 GW SMR,483.92956131523465
2021-02-01 06:00:00,+4.5 GW SMR,505.41735420670364
2021-02-01 09:00:00,+4.5 GW SMR,534.5747911237664
2021-02-01 12:00:00,+4.5 GW SMR,565.7062179432968
2021-02-01 15:00:00,+4.5 GW SMR,601.1957013414669
2021-02-01 18:00:00,+4.5 GW SMR,626.1240337051343
2021-02-01 21:00:00,+4.5 GW SMR,626.1240337051343
2021-02-02 00:00:00,+4.5 GW SMR,626.1240337051343
2021-02-02 03:00:00,+4.5 GW SMR,626.1240337051343
2021-02-02 06:00:00,+4.5 GW SMR,661.1200151405438
2021-02-02 09:00:00,+4.5 GW SMR,702.1452387323855
2021-02-02 12:00:00,+4.5 GW SMR,736.5812879845163
2021-02-02 15:00:00,+4.5 GW SMR,769.2966805882887
2021-02-02 18:00:00,+4.5 GW SMR,785.5635086723995
2021-02-02 21:00:00,+4.5 GW SMR,785.5635086723995
2021-02-03 00:00:00,+4.5 GW SMR,785.5635086723995
2021-02-03 03:00:00,+4.5 GW SMR,785.5635086723995
2021-02-03 06:00:00,+4.5 GW SMR,806.0323997821394
2021-02-03 09:00:00,+4.5 GW SMR,837.4118975020501
2021-02-03 12:00:00,+4.5 GW SMR,862.0951437678261
2021-02-03 15:00:00,+4.5 GW SMR,882.8589980573078
2021-02-03 18:00:00,+4.5 GW SMR,889.6829666096863
2021-02-03 21:00:00,+4.5 GW SMR,889.6829666096863
2021-02-04 00:00:00,+4.5 GW SMR,889.6829666096863
2021-02-04 03:00:00,+4.5 GW SMR,889.6829666096863
2021-02-04 06:00:00,+4.5 GW SMR,908.2727399768789
2021-02-04 09:00:00,+4.5 GW SMR,929.7619771592922
2021-02-04 12:00:00,+4.5 GW SMR,945.6835349614682
2021-02-04 15:00:00,+4.5 GW SMR,972.5733667179082
2021-02-04 18:00:00,+4.5 GW SMR,989.6613376370009
2021-02-04 21:00:00,+4.5 GW SMR,989.6613376370009
2021-02-05 00:00:00,+4.5 GW SMR,989.6613376370009
2021-02-05 03:00:00,+4.5 GW SMR,989.6613376370009
2021-02-05 06:00:00,+4.5 GW SMR,1007.3044180451784
2021-02-05 09:00:00,+4.5 GW SMR,1030.1533386125573
2021-02-05 12:00:00,+4.5 GW SMR,1044.9374567291145
2021-02-05 15:00:00,+4.5 GW SMR,1061.665330297849
2021-02-05 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-05 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 06:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 09:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 12:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 15:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-06 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 06:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 09:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 12:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 15:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-07 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 06:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 09:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 12:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 15:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-08 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 06:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 09:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 12:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 15:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-09 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 06:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 09:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 12:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 15:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 18:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-10 21:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-11 00:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-11 03:00:00,+4.5 GW SMR,1064.2436417736726
2021-02-11 06:00:00,+4.5 GW SMR,1071.595781281403
2021-02-11 09:00:00,+4.5 GW SMR,1071.9002847752977
2021-02-11 12:00:00,+4.5 GW SMR,1071.9002847752977
2021-02-11 15:00:00,+4.5 GW SMR,1088.696395433275
2021-02-11 18:00:00,+4.5 GW SMR,1088.696395433275
2021-02-11 21:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 00:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 03:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 06:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 09:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 12:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 15:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 18:00:00,+4.5 GW SMR,1088.696395433275
2021-02-12 21:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 00:00:00,+4.5 GW SMR,1088.696395433275
