scenario,rank,modelled_marginal_price_EUR_per_MWh,near_VOLL
Decarbonised no nuclear,120,58.946325045569196,False
Decarbonised no nuclear,121,58.94632504556919,False
Decarbonised no nuclear,122,58.94632464922672,False
Decarbonised no nuclear,123,58.946245513715326,False
Decarbonised no nuclear,124,58.946075409133414,False
Decarbonised no nuclear,125,58.94604224839922,False
Decarbonised no nuclear,126,58.945969120480726,False
Decarbonised no nuclear,127,58.94572531789604,False
Decarbonised no nuclear,128,58.945592344074576,False
Decarbonised no nuclear,129,58.945410598281185,False
Decarbonised no nuclear,130,58.945348604041314,False
Decarbonised no nuclear,131,58.945303781124146,False
Decarbonised no nuclear,132,58.945277970856374,False
Decarbonised no nuclear,133,58.94524977961389,False
Decarbonised no nuclear,134,58.945223301313874,False
Decarbonised no nuclear,135,56.09365827577921,False
Decarbonised no nuclear,136,53.825955487175236,False
Decarbonised no nuclear,137,53.82595548717523,False
Decarbonised no nuclear,138,53.82595548717523,False
Decarbonised no nuclear,139,53.82595548717523,False
Decarbonised no nuclear,140,53.82595548717523,False
Decarbonised no nuclear,141,53.82595548717523,False
Decarbonised no nuclear,142,52.11348526127565,False
Decarbonised no nuclear,143,52.113485261275635,False
Decarbonised no nuclear,144,52.11348526127562,False
Decarbonised no nuclear,145,51.095987401608305,False
Decarbonised no nuclear,146,51.095987401608305,False
Decarbonised no nuclear,147,51.095987401608305,False
Decarbonised no nuclear,148,51.0959874016083,False
Decarbonised no nuclear,149,51.0959874016083,False
Decarbonised no nuclear,150,51.0959874016083,False
Decarbonised no nuclear,151,51.09598740160829,False
Decarbonised no nuclear,152,51.095987401608284,False
Decarbonised no nuclear,153,51.095987401608284,False
Decarbonised no nuclear,154,51.095987401608284,False
Decarbonised no nuclear,155,51.095987401608284,False
Decarbonised no nuclear,156,51.095987401608284,False
Decarbonised no nuclear,157,51.095987401608284,False
Decarbonised no nuclear,158,51.09598740160828,False
Decarbonised no nuclear,159,50.34200106368444,False
Decarbonised no nuclear,160,49.98203852934791,False
Decarbonised no nuclear,161,49.73388512177941,False
Decarbonised no nuclear,162,49.7338851217794,False
Decarbonised no nuclear,163,49.134033085249015,False
Decarbonised no nuclear,164,49.13403308524901,False
Decarbonised no nuclear,165,49.13403308524901,False
Decarbonised no nuclear,166,49.13403308524901,False
Decarbonised no nuclear,167,49.13403308524901,False
Decarbonised no nuclear,168,49.134033085249,False
Decarbonised no nuclear,169,49.134033085249,False
Decarbonised no nuclear,170,49.134033085249,False
Decarbonised no nuclear,171,49.13403308524897,False
Decarbonised no nuclear,172,49.11346679493578,False
Decarbonised no nuclear,173,49.113466794935775,False
Decarbonised no nuclear,174,48.93237582107421,False
Decarbonised no nuclear,175,48.45769963474137,False
Decarbonised no nuclear,176,47.687890342508425,False
Decarbonised no nuclear,177,47.43218887232623,False
Decarbonised no nuclear,178,46.81186380192627,False
Decarbonised no nuclear,179,46.811863801926265,False
